"SURVEY","Sub_catchment_index","SITE","JULIAN_DAY","WETTED_AREA","METHOD","d_0","AVG_LENGTH_0","TOT_COUNT_0","d_1","AVG_LENGTH_1","TOT_COUNT_1","d_2","AVG_LENGTH_2","TOT_COUNT_2"
1973,"RES","4",201,523,"Successive removal",0.038,40.1,19,0.02,83.9,11,0,NA,NA
1973,"RES","5",234,312.9,"Successive removal",0.234,48.3,71,0.029,81.5,10,0.001,123,1
1973,"RES","6",240,334.9,"Successive removal",0.016,47,5,0.002,NA,NA,0,NA,NA
1973,"KED","28",194,334.3,"Successive removal",0.35,NA,NA,0.018,89.7,6,0.003,133,1
1973,"KED","30",238,292.7,"Successive removal",0.197,50,55,0.012,89.7,3,0.002,NA,NA
1973,"KED","36",239,246.8,"Successive removal",0.004,NA,NA,0.032,101.8,8,0.014,133,4
1973,"KED","38",198,321.8,"Successive removal",0.44,42.5,132,0.043,94.1,14,0.008,128,3
1973,"KED","39",207,352.7,"Successive removal",0.169,44.3,57,0.057,86.8,20,0.026,120,10
1973,"KED","40",197,339.2,"Successive removal",0.003,NA,NA,0.021,93,7,0.002,NA,NA
1973,"KED","41",232,329.7,"Successive removal",0.103,56.8,33,0.045,100.7,15,0.025,131.3,9
1973,"KED","42",218,337.4,"Successive removal",0.325,47.1,104,0.041,97.3,14,0.014,132,5
1973,"LMR","45",206,276.4,"Successive removal",0.031,38.6,8,0.002,NA,NA,0.001,NA,NA
1973,"LMR","46",206,275.8,"Successive removal",0.102,36.5,27,0.006,78,2,0.001,NA,NA
1973,"LMR","49",227,228.8,"Successive removal",0.012,63,2,0.022,108.8,6,0.003,138,1
1973,"LMR","50",199,339.9,"Successive removal",0.085,43.2,28,0.021,98,8,0.017,128.7,7
1973,"LMR","52",213,313.7,"Successive removal",0.655,43.5,197,0.011,96.8,4,0.001,NA,NA
1973,"LMR","53",236,229.8,"Successive removal",0.247,54.6,55,0.007,98,2,0.009,133,3
1973,"LMR","54",212,253.9,"Successive removal",0.114,41.9,28,0.002,NA,NA,0.001,NA,NA
1973,"LMR","55",205,260.2,"Successive removal",0.091,NA,NA,0.002,NA,NA,0.003,148,1
1973,"UPS","15",192,327.4,"Successive removal",0.182,NA,NA,0.003,NA,NA,0.001,NA,NA
1973,"UPS","16",226,391.6,"Successive removal",0.147,52.1,55,0.045,91.9,18,0.001,NA,NA
1973,"UPS","17",235,364.6,"Successive removal",0.18,52.2,63,0.03,93.5,11,0.017,119.4,7
1973,"UPS","21",211,318.4,"Successive removal",0.094,44.6,29,0.027,86.3,9,0.013,109,5
1974,"RES","3",226,474.9,"Successive removal",0.034,53.3,16,0.009,84.2,4,0,NA,NA
1974,"RES","4",226,559,"Successive removal",0.093,51.6,50,0.112,80.1,62,0,NA,NA
1974,"RES","5",227,338.9,"Successive removal",0.025,51.1,8,0.02,82.3,7,0.001,118,1
1974,"RES","6",227,343.1,"Successive removal",0.051,47.7,17,0.002,NA,NA,0,NA,NA
1974,"KED","27",238,409.3,"Successive removal",0.144,50.8,55,0.051,86.5,20,0.001,NA,NA
1974,"KED","28",193,334.3,"Successive removal",0.458,30,144,0.031,77.5,10,0.001,NA,NA
1974,"KED","29",190,290,"Successive removal",0.011,28,3,0.025,74.4,7,0.001,NA,NA
1974,"KED","30",207,283.2,"Successive removal",0.188,34.6,52,0.013,74.7,3,0.001,NA,NA
1974,"KED","36",207,253.3,"Successive removal",0.003,NA,NA,0.051,85.3,13,0.024,120.9,7
1974,"KED","38",191,294,"Successive removal",0.003,NA,NA,0.039,74.4,11,0.003,118,1
1974,"KED","39",240,380.4,"Successive removal",0.165,54.6,61,0.223,87.7,83,0.016,123.7,7
1974,"KED","40",235,344.9,"Successive removal",0.01,49.7,3,0.085,87.8,29,0.007,119.7,3
1974,"KED","41",191,386.5,"Successive removal",0.004,28,1,0.11,76.1,42,0.014,118,6
1974,"KED","42",232,363.5,"Successive removal",0.281,48.5,98,0.056,94,20,0.007,129.7,3
1974,"LMR","43",238,362.3,"Successive removal",0.419,52.5,147,0.063,90.2,23,0.001,NA,NA
1974,"LMR","45",198,266.6,"Successive removal",0.319,32,82,0.031,81.8,8,0.001,NA,NA
1974,"LMR","49",221,237.1,"Successive removal",0.004,NA,NA,0.042,107.5,10,0.012,133,4
1974,"LMR","50",198,334.9,"Successive removal",0.003,NA,NA,0.136,80.6,44,0.007,113,3
1974,"LMR","51",241,326.7,"Successive removal",0.176,54,56,0.169,92.2,55,0.001,NA,NA
1974,"LMR","52",213,320.1,"Successive removal",0.251,37.6,78,0.05,89.2,16,0.004,138,2
1974,"LMR","54",225,306,"Successive removal",0.031,41.3,9,0.018,96,5,0.002,113,1
1974,"LMR","55",210,401,"Successive removal",0.004,43,1,0.014,82,5,0.001,NA,NA
1974,"UPS","15",208,327.4,"Successive removal",0.071,39.4,22,0.029,76.9,9,0.001,NA,NA
1974,"UPS","16",197,397.1,"Successive removal",0.131,34.7,50,0.062,75.5,24,0.001,NA,NA
1974,"UPS","17",219,390.3,"Successive removal",0.102,47.9,38,0.139,82.1,53,0.006,118,3
1974,"UPS","21",218,383.7,"Successive removal",0.203,44,75,0.123,83.9,46,0.008,118,4
1975,"RES","3",220,334.9,"Successive removal",0.114,43.7,37,0.028,79.7,9,0.002,NA,NA
1975,"RES","4",199,363.3,"Successive removal",0.323,38.6,112,0.034,75.5,12,0.003,108,1
1975,"RES","5",233,372.1,"Successive removal",0.509,42.2,174,0.136,79.6,48,0.013,107,5
1975,"RES","6",213,334.9,"Successive removal",0.066,35.4,21,0.006,78,1,0.002,NA,NA
1975,"RES","7",233,334.9,"Successive removal",0.946,39.7,300,0.378,72.6,126,0.153,107.6,52
1975,"KED","27",211,372.1,"Successive removal",0.743,37.4,265,0.075,80.7,28,0.002,NA,NA
1975,"KED","28",182,354.8,"Successive removal",0.385,29.4,125,0.01,71.3,3,0.002,NA,NA
1975,"KED","29",218,290,"Successive removal",0.156,45.7,43,0.066,78.5,19,0.013,123,4
1975,"KED","30",189,315.1,"Successive removal",0.502,30.4,151,0.02,69.7,6,0.002,NA,NA
1975,"KED","36",195,256.3,"Successive removal",0.005,NA,NA,0.113,78.9,29,0.051,121.2,14
1975,"KED","38",197,294,"Successive removal",0.158,35.8,44,0.041,83.8,12,0.026,118,8
1975,"KED","39",219,334.9,"Successive removal",0.612,43.2,197,0.166,82.4,55,0.085,114.4,29
1975,"KED","40",205,326.5,"Successive removal",0.049,35,15,0.025,80.5,8,0.014,111,5
1975,"KED","41",196,329.7,"Successive removal",0.145,35.3,44,0.035,84.4,11,0.014,121,5
1975,"KED","42",223,339.5,"Successive removal",0.56,46.4,181,0.074,91.2,25,0.019,130.9,7
1975,"LMR","43",212,362.3,"Successive removal",0.341,42.6,118,0.03,81.6,11,0.003,128,1
1975,"LMR","44",240,203.1,"Successive removal",0.646,44.2,126,0.244,78.6,50,0.039,116.3,9
1975,"LMR","45",225,313.5,"Successive removal",0.201,48,58,0.01,88,3,0.006,130.5,2
1975,"LMR","48",204,334.3,"Successive removal",0.37,48.9,117,0.319,85.2,103,0.01,115.5,4
1975,"LMR","49",192,250.1,"Successive removal",0.037,37.4,9,0.003,NA,NA,0.013,124.2,4
1975,"LMR","50",227,337.9,"Successive removal",0.101,46.5,33,0.073,81,25,0.033,110.5,12
1975,"LMR","51",183,334.9,"Successive removal",0.037,29.7,12,0.059,76.8,20,0.001,NA,NA
1975,"LMR","52",191,334.9,"Successive removal",0.252,31,83,0.005,83,1,0.003,113,1
1975,"LMR","53",184,319.9,"Successive removal",0.036,28,11,0.01,74.7,3,0.003,123,1
1975,"LMR","54",184,236,"Successive removal",0.005,NA,NA,0.004,NA,NA,0.002,NA,NA
1975,"LMR","55",224,310.5,"Successive removal",0.004,NA,NA,0.003,NA,NA,0.001,NA,NA
1975,"UPS","15",232,327.4,"Successive removal",0.228,42.1,67,0.127,78,39,0.023,110.1,7
1975,"UPS","16",232,363.3,"Successive removal",0.59,43.9,205,0.204,76.1,73,0.074,109.9,27
1975,"UPS","17",238,327.7,"Successive removal",0.564,43.6,178,0.129,78.1,41,0.046,111,15
1975,"UPS","21",203,377.2,"Successive removal",0.508,33.1,180,0.224,77.8,80,0.065,108,24
1975,"OTH","9",231,285.2,"Successive removal",0.181,49.4,50,0.081,95.8,23,0.039,122.5,11
1976,"RES","3",198,334.9,"Successive removal",0.129,39.8,42,0.022,70.9,7,0.001,NA,NA
1976,"RES","4",191,363.3,"Successive removal",0.212,35.6,74,0.015,77,5,0.001,NA,NA
1976,"RES","5",205,396.5,"Successive removal",0.254,36.5,97,0.118,67,46,0.011,110,5
1976,"RES","6",247,253,"Successive removal",0.497,46.5,123,0.091,71,23,0.009,108,3
1976,"RES","7",246,253,"Successive removal",0.34,47.8,84,0.106,74.7,27,0.017,112,5
1976,"KED","27",194,372.1,"Successive removal",0.217,32.8,78,0.021,67.3,7,0.002,NA,NA
1976,"KED","28",197,354.8,"Successive removal",0.107,32.5,37,0.035,66.3,12,0.003,113,1
1976,"KED","29",196,290,"Successive removal",0.243,32.7,68,0.111,65.8,32,0.015,113,5
1976,"KED","30",211,315.1,"Successive removal",0.272,38.1,84,0.027,71.1,8,0.004,118,1
1976,"KED","36",208,262,"Successive removal",0.055,53.4,14,0.092,82.2,24,0.076,114.7,21
1976,"KED","38",204,294,"Successive removal",0.314,40.8,90,0.28,76.5,82,0.004,118,1
1976,"KED","39",244,179.6,"Successive removal",0.299,54.5,53,0.109,78,20,0.014,116.3,3
1976,"KED","40",218,323.1,"Successive removal",0.096,49.3,30,0.13,77.8,42,0.014,108,5
1976,"KED","41",210,302.9,"Successive removal",0.016,38,4,0.082,74.2,25,0.004,103,1
1976,"KED","42",203,339.5,"Successive removal",0.037,39.2,12,0.054,81.9,18,0.016,120.5,6
1976,"LMR","43",212,362.3,"Successive removal",0.174,39,63,0.026,73.5,10,0.001,NA,NA
1976,"LMR","44",202,203.1,"Successive removal",0.202,33,41,0.069,62.7,15,0.011,106.3,3
1976,"LMR","45",217,313.5,"Successive removal",0.065,40.5,20,0.002,NA,NA,0.001,NA,NA
1976,"LMR","48",201,357.5,"Successive removal",0.026,44.7,9,0.288,72.1,102,0.028,105.3,11
1976,"LMR","49",188,264.7,"Successive removal",0.019,31,5,0.011,59.7,3,0.019,97.2,6
1976,"LMR","50",216,348.1,"Successive removal",0.002,NA,NA,0.004,78,1,0.001,NA,NA
1976,"LMR","51",181,334.9,"Successive removal",0.033,33,11,0.088,74.2,30,0.018,116.6,7
1976,"LMR","52",190,334.9,"Successive removal",0.068,36,22,0.014,77,5,0.01,120.5,4
1976,"LMR","53",189,235.4,"Successive removal",0.033,42.4,8,0.003,NA,NA,0.001,NA,NA
1976,"LMR","54",183,253.7,"Successive removal",0.013,38,3,0.008,63,2,0.001,NA,NA
1976,"LMR","55",182,312.3,"Successive removal",0.003,NA,NA,0.003,NA,NA,0.001,NA,NA
1976,"UPS","16",237,348.6,"Successive removal",0.3,49.6,101,0.228,74.3,78,0.014,114,5
1976,"UPS","17",236,327.7,"Successive removal",0.088,48.5,28,0.02,76.3,6,0.002,NA,NA
1976,"UPS","21",245,343.6,"Successive removal",0.29,46.6,96,0.197,75.1,66,0.061,114.2,21
1976,"OTH","9",180,289.8,"Successive removal",0.01,41.3,3,0.14,75.4,40,0.031,114.7,9
1977,"RES","3",192,334.9,"Successive removal",0.154,35.2,50,0.041,65.5,14,0.001,NA,NA
1977,"RES","4",189,334.9,"Successive removal",0.118,33.1,38,0.013,78,4,0.003,113,1
1977,"RES","5",217,324,"Successive removal",0.185,41.3,57,0.086,81.2,28,0.008,116.3,3
1977,"RES","6",220,334.9,"Successive removal",0.109,37.4,35,0.003,NA,NA,0.003,98,1
1977,"RES","7",234,269.4,"Successive removal",0.331,43.9,86,0.069,81.9,19,0.023,109.4,7
1977,"KED","27",210,372.1,"Successive removal",0.339,39.5,123,0.04,82,15,0.011,113,4
1977,"KED","28",230,345,"Successive removal",0.359,44,121,0.061,84.9,21,0.017,114.7,6
1977,"KED","29",209,290,"Successive removal",0.209,42,59,0.066,76.7,19,0.02,114.7,6
1977,"KED","30",207,288.8,"Successive removal",0.101,41.4,29,0.009,78,2,0.007,108,2
1977,"KED","36",202,303.4,"Successive removal",0.011,38,3,0.033,84.5,10,0.045,118,14
1977,"KED","38",196,305,"Successive removal",0.047,35.5,14,0.105,78.2,32,0.022,101.6,7
1977,"KED","39",203,338.9,"Successive removal",0.144,36,48,0.065,83.2,22,0.035,110.1,12
1977,"KED","40",194,345.8,"Successive removal",0.013,34.2,4,0.055,82.2,19,0.014,109,5
1977,"KED","41",201,327.4,"Successive removal",0.003,NA,NA,0.055,74.4,18,0.015,108,5
1977,"KED","42",188,354.4,"Successive removal",0.005,43,1,0.013,89.2,4,0.033,114.2,12
1977,"LMR","43",199,362.3,"Successive removal",0.11,36.2,39,0.002,NA,NA,0.005,123,2
1977,"LMR","44",215,212.2,"Successive removal",0.818,41.5,165,0.017,84.2,4,0.001,NA,NA
1977,"LMR","45",228,313.5,"Successive removal",0.639,49.8,191,0.018,91.3,6,0.005,110.5,2
1977,"LMR","46",238,232.8,"Successive removal",0.187,51,42,0.032,88,8,0.001,NA,NA
1977,"LMR","47",237,231.5,"Successive removal",0.326,53.6,74,0.012,99.7,3,0.001,NA,NA
1977,"LMR","48",214,318.7,"Successive removal",0.148,54.1,46,0.136,88.2,44,0.003,113,1
1977,"LMR","49",227,286.7,"Successive removal",0.104,58.3,29,0.016,90,5,0.005,125.5,2
1977,"LMR","50",223,347.5,"Successive removal",0.039,52.6,13,0.014,85,5,0.015,113,6
1977,"LMR","51",193,304.7,"Successive removal",0.031,32.4,9,0.06,82.2,19,0.023,113,8
1977,"LMR","52",186,334.9,"Successive removal",0.212,28.7,68,0.004,48,1,0.001,NA,NA
1977,"LMR","53",181,323.1,"Successive removal",0.017,29,5,0.024,49.2,8,0.01,88,4
1977,"LMR","54",179,186.1,"Successive removal",0.005,NA,NA,0.006,48,1,0.004,88,1
1977,"LMR","55",180,314.3,"Successive removal",0.004,NA,NA,0.003,NA,NA,0.001,NA,NA
1977,"UPS","14",231,251.9,"Successive removal",0.244,40.7,58,0.036,71.3,9,0.001,NA,NA
1977,"UPS","15",241,327.4,"Successive removal",0.115,48.1,36,0.019,80.5,6,0.002,123,1
1977,"UPS","16",221,334.9,"Successive removal",0.195,44.7,63,0.083,81.2,28,0.001,NA,NA
1977,"UPS","17",216,327.7,"Successive removal",0.126,43.8,40,0.011,78,3,0.001,NA,NA
1977,"UPS","21",222,357.1,"Successive removal",0.213,43,74,0.151,77.4,54,0.055,111.3,21
1977,"OTH","9",185,306.6,"Successive removal",0.023,42.3,7,0.019,88,6,0.053,112.7,16
1978,"RES","3",195,334.9,"Successive removal",0.038,37.6,12,0.003,NA,NA,0.001,NA,NA
1978,"RES","4",181,326.6,"Successive removal",0.058,32.7,18,0.061,64,20,0.001,NA,NA
1978,"RES","5",240,261.1,"Successive removal",0.323,36.1,82,0.098,68.4,26,0.007,104.7,3
1978,"RES","6",216,334.9,"Successive removal",0.138,35,45,0.021,62.3,7,0.001,NA,NA
1978,"KED","27",212,326.4,"Successive removal",0.164,41.2,52,0.022,81.6,7,0.001,NA,NA
1978,"KED","28",220,334.9,"Successive removal",0.11,39.7,36,0.013,81.8,4,0.001,NA,NA
1978,"KED","29",205,290,"Successive removal",0.09,41.4,25,0.032,77.4,9,0.001,NA,NA
1978,"KED","30",201,285.7,"Successive removal",0.407,35.9,114,0.015,76.8,4,0.002,NA,NA
1978,"KED","36",198,286.2,"Successive removal",0.019,33,5,0.07,83,20,0.015,133,5
1978,"KED","38",193,316,"Successive removal",0.139,33.5,43,0.111,76.1,35,0.008,109.7,3
1978,"KED","39",199,317.8,"Successive removal",0.069,39.4,21,0.079,77,25,0.006,120.5,2
1978,"KED","40",200,345.8,"Successive removal",0.016,44,5,0.084,76.4,29,0.024,115.8,9
1978,"KED","41",194,323.4,"Successive removal",0.023,33.7,7,0.087,75.9,28,0.022,118.6,8
1978,"KED","42",192,342.9,"Successive removal",0.072,28,24,0.045,71.7,15,0.018,111.6,7
1978,"LMR","43",191,294.2,"Successive removal",0.771,35.7,220,0.071,77.8,21,0.001,NA,NA
1978,"LMR","44",208,251.5,"Successive removal",0.785,38.6,192,0.071,77.2,18,0.001,NA,NA
1978,"LMR","45",207,335.5,"Successive removal",0.086,42.6,27,0.013,71.8,4,0.005,115.5,2
1978,"LMR","46",222,227.1,"Successive removal",0.315,46.9,70,0.082,83.3,19,0.001,NA,NA
1978,"LMR","47",222,155.4,"Successive removal",0.131,49,20,0.01,83,1,0.005,108,1
1978,"LMR","48",214,303.7,"Successive removal",0.188,55.7,55,0.159,94.1,48,0.011,128,4
1978,"LMR","49",241,272.1,"Successive removal",0.607,56.7,161,0.262,99.1,71,0.043,129.2,13
1978,"LMR","50",206,376,"Successive removal",0.101,41.1,37,0.069,75.3,26,0.014,115.5,6
1978,"LMR","51",186,334.9,"Successive removal",0.054,33.3,17,0.11,82.2,37,0.013,114,5
1978,"LMR","52",185,334.9,"Successive removal",0.114,28.8,37,0.006,88,1,0.001,NA,NA
1978,"LMR","53",187,297.5,"Successive removal",0.02,29,5,0.05,51.3,15,0.014,88,5
1978,"LMR","54",178,241.9,"Successive removal",0.722,26,169,0.01,63,2,0.001,NA,NA
1978,"LMR","55",184,297.5,"Successive removal",0.02,28,5,0.006,83,1,0.001,NA,NA
1978,"UPS","14",230,294.2,"Successive removal",0.054,39.7,15,0.039,63.5,11,0.002,NA,NA
1978,"UPS","15",228,334.9,"Successive removal",0.321,42.7,104,0.062,75,20,0.004,108,1
1978,"UPS","16",227,334.9,"Successive removal",0.381,46,123,0.244,75.6,80,0.014,112,5
1978,"UPS","17",223,297.1,"Successive removal",0.313,43,88,0.079,79.1,23,0.007,115.5,2
1978,"UPS","19",242,266.8,"Successive removal",0.174,41.6,45,0.151,77,40,0.028,108.6,8
1978,"UPS","20",236,277.8,"Successive removal",0.518,40.9,140,0.034,75.8,9,0.007,110.5,2
1978,"UPS","21",215,351,"Successive removal",0.223,36.4,76,0.222,74.6,77,0.061,110.5,22
1978,"UPS","23",237,357.1,"Successive removal",0.548,48.4,185,0.267,84,93,0.055,118.5,20
1978,"OTH","9",177,306.6,"Successive removal",0.054,39.2,16,0.042,82.2,13,0.012,124.2,4
1979,"RES","10",200,378,"Successive removal",0.025,39.7,9,0.003,NA,NA,0.001,NA,NA
1979,"RES","3",215,400,"Successive removal",0.18,42.5,70,0.147,68.4,58,0.011,98,5
1979,"RES","4",186,400,"Successive removal",0.021,41.8,8,0.047,76.2,19,0.001,NA,NA
1979,"RES","5",214,384.2,"Successive removal",0.097,39.5,36,0.063,62.8,24,0.033,97.3,14
1979,"RES","6",213,400,"Successive removal",0.127,41.2,49,0.028,62.5,11,0.001,NA,NA
1979,"RES","7",219,308,"Successive removal",0.08,44.9,24,0.038,68.8,12,0.008,96.3,3
1979,"RES","8",235,275,"Successive removal",0.081,47.5,22,0.009,73,2,0.001,NA,NA
1979,"KED","27",190,445.5,"Successive removal",0.058,36.6,25,0.024,78,10,0.004,103,2
1979,"KED","28",198,420,"Successive removal",0.11,38.2,45,0.032,65.3,13,0.003,88,1
1979,"KED","29",199,350,"Successive removal",0.097,42.1,33,0.047,72.7,16,0.003,88,1
1979,"KED","30",193,366,"Successive removal",0.241,33.3,86,0.053,66.2,19,0.003,93,1
1979,"KED","36",185,337.5,"Successive removal",0.037,38.8,12,0.078,78.2,26,0.042,112.3,15
1979,"KED","38",191,310.5,"Successive removal",0.105,36,32,0.074,75,23,0.011,98,4
1979,"KED","39",192,416.5,"Successive removal",0.025,39.5,10,0.132,72.4,54,0.015,101.6,7
1979,"KED","40",192,360,"Successive removal",0.013,34.2,4,0.048,67.7,17,0.013,94,5
1979,"KED","41",191,408,"Successive removal",0.061,33,24,0.038,72,15,0.001,NA,NA
1979,"KED","42",184,418,"Successive removal",0.018,37.3,7,0.059,69.7,24,0.02,109.7,9
1979,"LMR","43",194,440,"Successive removal",0.14,40,60,0.017,73.7,7,0.001,NA,NA
1979,"LMR","44",198,304.2,"Successive removal",0.487,38.1,143,0.112,78.4,34,0.004,118,1
1979,"LMR","45",206,368,"Successive removal",0.043,45.8,16,0.005,73,1,0.003,93,1
1979,"LMR","46",205,280,"Successive removal",0.071,48.2,20,0.118,84.2,33,0.029,116.3,9
1979,"LMR","47",206,246.5,"Successive removal",0.027,44.4,7,0.048,68,12,0.021,89.7,6
1979,"LMR","48",197,368,"Successive removal",0.006,53,2,0.085,84.8,31,0.005,128,2
1979,"LMR","49",201,378,"Successive removal",0.051,47.5,19,0.099,81.1,37,0.072,124.1,28
1979,"LMR","50",207,416,"Successive removal",0.031,45.3,13,0.051,82,21,0.025,110.3,11
1979,"LMR","51",183,346,"Successive removal",0.002,NA,NA,0.021,75.9,7,0.003,108,1
1979,"LMR","52",178,397.5,"Successive removal",0.002,NA,NA,0.045,73.8,18,0.003,123,1
1979,"LMR","53",178,360.4,"Successive removal",0.002,NA,NA,0.005,73,1,0.001,NA,NA
1979,"LMR","54",177,216,"Successive removal",0.003,NA,NA,0.011,70.5,2,0.008,108,2
1979,"LMR","55",177,225.7,"Successive removal",0.017,36.8,4,0.061,65.9,14,0.004,123,1
1979,"UPS","14",214,325,"Successive removal",0.121,41.2,38,0.036,64.4,11,0.016,89,5
1979,"UPS","15",229,360,"Successive removal",0.188,49.1,66,0.074,73.6,26,0.017,98,6
1979,"UPS","16",229,400,"Successive removal",0.159,53.2,62,0.135,74.8,53,0.011,109.2,4
1979,"UPS","17",221,363,"Successive removal",0.173,47.8,61,0.054,74.1,19,0.014,97,5
1979,"UPS","19",233,320,"Successive removal",0.11,45.6,34,0.074,80.4,23,0.037,109.2,12
1979,"UPS","20",233,330,"Successive removal",0.183,47.2,59,0.079,74.8,25,0.024,108,8
1979,"UPS","21",220,430,"Successive removal",0.203,45.3,84,0.117,71.7,49,0.023,107,10
1979,"UPS","22",243,298.2,"Successive removal",0.376,51.7,108,0.305,74.9,90,0.026,104.2,8
1979,"UPS","23",236,448.5,"Successive removal",0.332,53.1,144,0.164,82.8,72,0.11,114.6,49
1980,"RES","11",241,256.5,"Successive removal",0.158,52.9,40,0.038,93,10,0.01,123,3
1980,"RES","12",190,270,"Successive removal",0.003,NA,NA,0.085,91.5,23,0.027,134.2,8
1980,"RES","13",205,225,"Successive removal",0.004,NA,NA,0.004,NA,NA,0.002,NA,NA
1980,"RES","3",218,378,"Successive removal",0.046,53,17,0.019,85.1,7,0.005,103,2
1980,"RES","4",218,270,"Successive removal",0.027,43,7,0.073,72,20,0.007,103,2
1980,"RES","5",242,318.8,"Successive removal",0.218,53,67,0.13,86.2,41,0.152,116.5,49
1980,"RES","6",219,400,"Successive removal",0.053,44.9,21,0.003,NA,NA,0.001,NA,NA
1980,"RES","7",217,308,"Successive removal",0.093,48.2,28,0.064,84.8,20,0.018,116.3,6
1980,"RES","8",213,275,"Successive removal",0.161,41.9,44,0.036,81.5,10,0.002,NA,NA
1980,"KED","27",211,445.5,"Successive removal",0.392,43.9,171,0.071,85.4,31,0.008,116.8,4
1980,"KED","28",211,360,"Successive removal",0.088,41.2,31,0.042,69.7,15,0.001,NA,NA
1980,"KED","29",176,350,"Successive removal",0.026,34.1,9,0.015,75,5,0.001,NA,NA
1980,"KED","30",176,366,"Successive removal",0.415,30,146,0.007,73,2,0.001,NA,NA
1980,"KED","36",203,418.5,"Successive removal",0.002,NA,NA,0.133,85.6,55,0.007,124.7,3
1980,"KED","38",183,310.5,"Successive removal",0.013,30.5,4,0.077,75.9,24,0.003,103,1
1980,"KED","39",183,416.5,"Successive removal",0.027,33.5,11,0.074,73.6,31,0.025,108.5,11
1980,"KED","40",189,320,"Successive removal",0.003,NA,NA,0.011,76.3,3,0.014,98,5
1980,"KED","41",184,408,"Successive removal",0.002,NA,NA,0.049,78.2,20,0.03,109.9,13
1980,"KED","42",210,429,"Successive removal",0.071,34.3,30,0.024,71.5,10,0.013,109.7,6
1980,"LMR","43",179,440,"Successive removal",0.055,31,23,0.001,NA,NA,0.001,NA,NA
1980,"LMR","44",203,312,"Successive removal",0.172,41.4,52,0.02,72.3,7,0.001,NA,NA
1980,"LMR","45",204,322,"Successive removal",0.111,44.7,35,0.008,89.7,3,0.001,NA,NA
1980,"LMR","46",204,232,"Successive removal",0.14,45.7,32,0.004,68,1,0.001,NA,NA
1980,"LMR","47",240,389.4,"Successive removal",0.061,55,23,0.003,93,1,0.001,NA,NA
1980,"LMR","48",182,387.5,"Successive removal",0.1,36.6,37,0.039,77.7,16,0.002,133,1
1980,"LMR","49",205,324,"Successive removal",0.089,46.8,28,0.006,78,2,0.042,114.7,15
1980,"LMR","50",214,416,"Successive removal",0.089,46.3,36,0.015,74.4,7,0.014,95.1,7
1980,"LMR","51",178,340,"Successive removal",0.052,30.1,17,0.015,74.7,6,0.004,118,2
1980,"LMR","52",178,432,"Successive removal",0.124,30.1,52,0.001,NA,NA,0.001,NA,NA
1980,"LMR","53",179,357,"Successive removal",0.187,29.2,65,0.002,NA,NA,0.001,NA,NA
1980,"LMR","54",177,224,"Successive removal",0.147,28.9,32,0.002,NA,NA,0.001,NA,NA
1980,"LMR","55",177,263.5,"Successive removal",0.028,40.9,7,0.01,74.7,3,0.008,123,3
